epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,625.789,1.73628,1.7341,1.75922,0.57509,0.56824,0.58769,0.25006,1.84633,1.75658,2.00285,0.00132868,0.00132868,0.00132868
43,640.765,1.77794,1.81865,1.83904,0.71188,0.60883,0.6766,0.32017,1.67468,1.48856,1.8575,0.00132043,0.00132043,0.00132043
44,657.869,1.70848,1.67381,1.82846,0.59495,0.55622,0.57426,0.25433,1.77041,1.89577,1.96001,0.00131218,0.00131218,0.00131218
45,678.12,1.66278,1.72059,1.70867,0.48238,0.41335,0.38184,0.17563,1.75961,2.64144,2.04217,0.00130393,0.00130393,0.00130393
46,692.384,1.61376,1.63304,1.68485,0.60421,0.60869,0.64524,0.28299,1.72236,1.53314,1.96343,0.00129568,0.00129568,0.00129568
47,708.411,1.66956,1.73679,1.72149,0.63479,0.62825,0.65858,0.31448,1.72265,1.45543,1.87077,0.00128742,0.00128742,0.00128742
48,723.886,1.64277,1.70983,1.72152,0.54037,0.58881,0.58222,0.2653,1.75711,1.68387,1.87568,0.00127917,0.00127917,0.00127917
49,743.319,1.73507,1.69137,1.77205,0.64911,0.58542,0.6513,0.3282,1.67947,1.54482,1.86156,0.00127092,0.00127092,0.00127092
50,758.054,1.64364,1.70633,1.68952,0.65692,0.54771,0.6047,0.2705,1.78717,1.55843,1.96123,0.00126267,0.00126267,0.00126267
51,774.389,1.56217,1.56197,1.63602,0.66301,0.6339,0.69151,0.34268,1.64348,1.52441,1.88488,0.00125442,0.00125442,0.00125442
52,791.796,1.61669,1.60967,1.6612,0.68671,0.61317,0.67049,0.3457,1.739,1.83121,2.04236,0.00124617,0.00124617,0.00124617
53,805.497,1.60171,1.61764,1.68765,0.72513,0.62692,0.7271,0.36469,1.66834,1.51277,1.88715,0.00123791,0.00123791,0.00123791
54,820.657,1.56325,1.57953,1.64999,0.66792,0.57909,0.67302,0.333,1.57309,1.39073,1.76361,0.00122966,0.00122966,0.00122966
55,836.063,1.63284,1.65486,1.717,0.73613,0.69096,0.76696,0.39324,1.51599,1.2578,1.71976,0.00122141,0.00122141,0.00122141
56,854.264,1.53617,1.5111,1.65205,0.73069,0.66351,0.72805,0.37211,1.55098,1.46595,1.77416,0.00121316,0.00121316,0.00121316
57,869.04,1.55591,1.4781,1.62358,0.74191,0.70442,0.79709,0.43464,1.51002,1.29581,1.72437,0.00120491,0.00120491,0.00120491
58,887.221,1.59326,1.58952,1.69249,0.72706,0.73108,0.77804,0.419,1.49977,1.25924,1.68166,0.00119666,0.00119666,0.00119666
